company_name,category,addr_street,addr_number,addr_city
"Oil States International, Inc.",Energy,Glendale,6820,Paprotnia
"CryoPort, Inc.",Transportation,Glacier Hill,2,Almirante
Hewlett Packard Enterprise Company,Technology,Steensland,785,Maranura
"Jason Industries, Inc.",Consumer Durables,Buell,9717,Siding
"Quantenna Communications, Inc.",Technology,Michigan,99563,Đoan Hùng
McKesson Corporation,Health Care,Swallow,83827,Castleknock
"BioCryst Pharmaceuticals, Inc.",Health Care,Melvin,43,Votuporanga
Darling Ingredients Inc.,Consumer Non-Durables,Anderson,96801,Sambopinggir
Hecla Mining Company,Basic Industries,High Crossing,73893,Sunne
"SPX FLOW, Inc.",Technology,Rigney,50,Kisoro
NXT-ID Inc.,Consumer Services,Riverside,393,Qiaonan
"Old Second Bancorp, Inc.",Finance,Waywood,0,Washington
"Editas Medicine, Inc.",Health Care,West,953,Qelëz
"NCS Multistage Holdings, Inc.",n/a,Elmside,0860,Tahilt
Red Lion Hotels Corporation,Consumer Services,Sauthoff,4384,Konispol
ZAGG Inc,Consumer Services,Forest Dale,46,Ai Tu
Honeywell International Inc.,Capital Goods,Dixon,04,Krajan
VelocityShares 3x Long Gold ETN,Finance,Crest Line,62,Starcevica
"American Eagle Outfitters, Inc.",Consumer Services,Melby,784,Baidoa
"The Meet Group, Inc.",Consumer Services,Del Mar,8910,Almeria
"Cellectar Biosciences, Inc.",Health Care,Rusk,5661,Paobulan
Radcom Ltd.,Technology,Buena Vista,211,Millerovo
"Expeditors International of Washington, Inc.",Transportation,8th,07,Arauco
Luminex Corporation,Health Care,Sunbrook,11589,Hutang
Signature Bank,Finance,Russell,65,Shtip
E.I. du Pont de Nemours and Company,Basic Industries,South,905,Birzai
Domino's Pizza Inc,Consumer Non-Durables,Mitchell,1,Leuwipicung
"InterDigital, Inc.",Miscellaneous,Hoard,292,Kut Chum
"SiteOne Landscape Supply, Inc.",Consumer Non-Durables,Bultman,57,Rajadesa
"Real Goods Solar, Inc.",Basic Industries,Forest Dale,3780,Banyumas
"Arch Coal, Inc.",Energy,Service,16,Contramaestre
"Sigma Labs, Inc.",Consumer Durables,Straubel,9978,Flores da Cunha
"Daktronics, Inc.",Consumer Durables,Pearson,17373,Lumatil
"Adverum Biotechnologies, Inc.",Health Care,Northport,31,Changyŏn
"Clearfield, Inc.",Public Utilities,Corben,20,Hino
Exact Sciences Corporation,Health Care,Hansons,9,Betania
Starbucks Corporation,Consumer Services,Coolidge,996,Ricardo Flores Magon
Systemax Inc.,Consumer Services,Lawn,37850,Tierra Blanca
Morgan Stanley,n/a,Almo,50969,Dateng
MiX Telematics Limited,Technology,Weeping Birch,3422,Al Lubban al Gharbī
"Aclaris Therapeutics, Inc.",Health Care,Northfield,603,Washington
"Staples, Inc.",Consumer Services,Utah,9552,Tairan Camp
"Valhi, Inc.",Basic Industries,Basil,09277,Wassa-Akropong
Easterly Acquisition Corp.,Capital Goods,Cherokee,409,Dvinskoy
"PRGX Global, Inc.",Consumer Services,Norway Maple,5,Xiongji
"Becton, Dickinson and Company",Health Care,Westerfield,86044,Jinshanzui
First Trust Dorsey Wright Dynamic Focus 5 ETF,n/a,Sundown,59,Wonosari
"Team, Inc.",Consumer Services,Service,63,Znomenka
"ServiceSource International, Inc.",Miscellaneous,Packers,53729,Balakasap
ON Semiconductor Corporation,Technology,School,90,Kubangkondanglapangan
LCNB Corporation,Finance,Mockingbird,72838,Suslonger
"Argo Group International Holdings, Ltd.",Finance,Ridgeview,2,Binuangeun
WPCS International Incorporated,Consumer Services,Heffernan,8,Corralito
Allstate Corporation (The),n/a,Dixon,8412,Alfta
"NCI Building Systems, Inc.",Capital Goods,Barnett,09598,Olmos
Sussex Bancorp,Finance,Thackeray,7597,Zhoujia
Bank of America Corporation,Finance,Oriole,180,Huji
"Computer Task Group, Incorporated",Technology,Vidon,8738,Marks
Peregrine Pharmaceuticals Inc.,Health Care,Bonner,379,Novopokrovskaya
CTI Industries Corporation,Basic Industries,Service,93455,Esposende
Ascendis Pharma A/S,Health Care,Badeau,9,Kasingan
Darling Ingredients Inc.,Consumer Non-Durables,Sachtjen,94,Menuma
BlackRock Municipal Income Trust,n/a,Bartelt,12806,Randegan
"Seabridge Gold, Inc.",Basic Industries,David,45,Sebu
"Diversified Restaurant Holdings, Inc.",Consumer Services,Donald,6,Jinping
"Acasti Pharma, Inc.",Health Care,Londonderry,11,Rouen
Senior Housing Properties Trust,Consumer Services,Hoepker,29,Singosari
First American Corporation (The),Finance,Susan,578,Budy
McEwen Mining Inc.,Basic Industries,Granby,7855,Karangampel
"Anthem, Inc.",Health Care,Hansons,8232,Śródmieście
"Sigma Designs, Inc.",Technology,Main,5822,Tanahmerah
Medigus Ltd.,Health Care,Rigney,45,Huoli
Corporate Office Properties Trust,Consumer Services,Charing Cross,68919,Casais Baleal
PCSB Financial Corporation,Finance,Talisman,27349,Būr Safājah
Lightbridge Corporation,Consumer Services,Dawn,38940,Suna
"Natuzzi, S.p.A.",Consumer Durables,Grayhawk,3706,Zhaxi
"McCormick & Company, Incorporated",Consumer Non-Durables,Northport,74,Cankova
Omega Protein Corporation,Consumer Non-Durables,Esker,662,Muḩradah
Vident International Equity Fund,n/a,Aberg,6,Nizami
"Camping World Holdings, Inc.",Consumer Durables,Pond,85,Ramat HaSharon
DMC Global Inc.,Capital Goods,Hayes,8,Polýkastro
DNB Financial Corp,Finance,Dayton,7883,Patria
"Amplify Snack Brands, inc.",Consumer Non-Durables,High Crossing,59974,Bijela
Macquarie Global Infrastructure Total Return Fund Inc.,n/a,Portage,02142,Manzil Bū Zalafah
First Trust MLP and Energy Income Fund,n/a,Memorial,10,Matinao
Goldman Sachs MLP Income Opportunities Fund,n/a,Erie,57931,Reguengos de Monsaraz
"Westmoreland Resource Partners, LP",Energy,Ridge Oak,28541,Bagnères-de-Bigorre
Zix Corporation,Technology,Northfield,06,Bajo
Hancock Holding Company,Finance,Northridge,9,Sabana Grande
"HRG Group, Inc.",Miscellaneous,Cascade,86934,Makueni
Cellectis S.A.,Health Care,Sullivan,2719,Sakrand
"China Biologic Products, Inc.",Health Care,Pond,07,Topeka
"Mota Group, Inc.",n/a,Anthes,57,Guandian
Bank of America Corporation,Finance,Shasta,7346,Sviblovo
Ameris Bancorp,Finance,Towne,44,Hongchang
Eagle Materials Inc,Capital Goods,Florence,069,Mocímboa
"G-III Apparel Group, LTD.",Consumer Non-Durables,Del Mar,4,Agra
Shinhan Financial Group Co Ltd,Finance,Meadow Ridge,9072,Jeonju
Main Street Capital Corporation,n/a,Burrows,24124,Lenart v Slov. Goricah
ResMed Inc.,Health Care,Londonderry,325,Il’ka
"Colony NorthStar, Inc.",n/a,Golf,381,Chengzihe
Government Properties Income Trust,Finance,Fairview,90499,Umeå
"Barrett Business Services, Inc.",Technology,Green Ridge,86192,Banjaranyar
"Helmerich & Payne, Inc.",Energy,Mandrake,8511,Cabinteely
Central Garden & Pet Company,Consumer Durables,Swallow,2,Oklahoma City
The Middleby Corporation,Technology,Artisan,90,Ondores
Eaton Vance High Income 2021 Target Term Trust,n/a,North,78,Mengjia
"Level 3 Communications, Inc.",Public Utilities,Atwood,6,Beaverton
Unilever PLC,Basic Industries,Pankratz,541,Ādaži
"Synchronoss Technologies, Inc.",Technology,Wayridge,0,Oetua
Lamar Advertising Company,Consumer Services,Duke,83628,Bayombong
"Argo Group International Holdings, Ltd.",Finance,Heffernan,181,Sydney
Ares Management L.P.,Finance,New Castle,703,Fuying
HSBC Holdings plc,Finance,Little Fleur,726,Kragan
Hanesbrands Inc.,Consumer Services,Mallory,46,Abuyog
Medigus Ltd.,Health Care,Homewood,48,Granada
"PC-Tel, Inc.",Technology,Golf,92,Brokopondo
Companhia Paranaense de Energia (COPEL),Public Utilities,Saint Paul,203,Vani
John Hancock Financial Opportunities Fund,n/a,Trailsway,37,Shouzhan
"TJX Companies, Inc. (The)",Consumer Services,Tony,7827,Shambu
Sabine Royalty Trust,Energy,Emmet,24614,Kigoma
"ConAgra Brands, Inc.",Consumer Non-Durables,Grim,6,Detroit
Colonial High Income Municipal Trust,n/a,Meadow Ridge,104,Golubac
"U.S. Auto Parts Network, Inc.",Consumer Services,Hanover,85232,Al Abyār
"Coastway Bancorp, Inc.",Finance,Golden Leaf,9188,Ambositra
"Interface, Inc.",Consumer Durables,Village Green,16,Ma’an
Christopher & Banks Corporation,Consumer Services,Warrior,24,Perehonivka
"Guaranty Bancshares, Inc.",Finance,Rusk,4359,Aqqan
Credicorp Ltd.,Finance,Northland,5,Blarney
VelocityShares 3x Inverse Silver ETN,Finance,Ridgeview,006,Ozerki
Harmony Merger Corp.,Public Utilities,Forest Dale,71889,Le Hochet
Incyte Corporation,Health Care,Florence,3,Ede
"51job, Inc.",Technology,1st,74,Berlin
AVX Corporation,Capital Goods,Hovde,818,Santa Maria da Feira
"NAPCO Security Technologies, Inc.",Consumer Durables,Continental,06,Guaporé
Vanguard Russell 2000 Growth ETF,n/a,East,6,Wukari
Univar Inc.,Consumer Durables,Bunting,192,Shanggan
"MacroGenics, Inc.",Health Care,Monument,3,Jāndiāla Sher Khān
iStar Financial Inc.,n/a,Darwin,880,Szczaniec
First Trust Capital Strength ETF,n/a,Amoth,2229,Khao Kho
Cabot Oil & Gas Corporation,Energy,Algoma,976,Rudky
Capitala Finance Corp.,n/a,Dakota,75,Yaxi
Exelon Corporation,Public Utilities,Beilfuss,954,Kushk
"Landstar System, Inc.",Transportation,Esch,722,Kedungtulup
"Hennessy Advisors, Inc.",Finance,Fremont,94,Memphis
Highway Holdings Limited,Capital Goods,Red Cloud,433,Huangxikou
"Bancorp 34, Inc.",Finance,Holy Cross,534,Colonia Minga Porá
"Maiden Holdings, Ltd.",n/a,Kennedy,661,Cana Chapetón
"ConAgra Brands, Inc.",Consumer Non-Durables,Hintze,2511,Huacao
Cincinnati Financial Corporation,Finance,Twin Pines,12,Maastricht
"Invuity, Inc.",Health Care,Messerschmidt,50931,Kostopil’
"NextEra Energy, Inc.",n/a,Weeping Birch,75,Sandata
Cenveo Inc,Consumer Durables,Veith,899,Ust’-Dzheguta
"Viking Therapeutics, Inc.",Health Care,Kim,66204,Remiremont
Invitae Corporation,Health Care,Loftsgordon,38895,Baiquan
"Solaris Oilfield Infrastructure, Inc.",Energy,Harbort,28343,Karolinka
Lattice Semiconductor Corporation,Technology,Heath,1457,La Eduvigis
Apache Corporation,Energy,Canary,06243,Xiwu
QAD Inc.,Technology,Red Cloud,099,Chishui
AZZ Inc.,Consumer Durables,Hoepker,073,Chatuchak
Brookfield Global Listed Infrastructure Income Fund,n/a,Prairieview,3,Ciilat
Data I/O Corporation,Capital Goods,Holy Cross,4,Melaka
"BCE, Inc.",Public Utilities,Sugar,23461,Caihua
Nuveen California Quality Municipal Income Fund,n/a,Barby,44,Baiheshan
"HSN, Inc.",Consumer Services,Mayfield,9,Água Levada
"CBAK Energy Technology, Inc.",Miscellaneous,Oxford,92,Carapo
Voya Natural Resources Equity Income Fund,n/a,Birchwood,43,Izhmorskiy
"Universal Health Services, Inc.",Health Care,Oak,901,Akouda
"United Bancorp, Inc.",Finance,Dapin,9,Bungur
"Insys Therapeutics, Inc.",Health Care,Butterfield,5,Nova Era
"Evolving Systems, Inc.",Technology,Golf,8699,Simpang
MSG Networks Inc.,Consumer Services,Nova,70,Cezi
C,Energy,Straubel,88888,Liandu
"Akorn, Inc.",Health Care,Buhler,9600,Paris 03
"Sigma Labs, Inc.",Consumer Durables,Bellgrove,87619,Cerro de Pasco
First Trust Capital Strength ETF,n/a,Bowman,88,Johor Bahru
Highland Funds I,n/a,Eastwood,98,Bełżyce
IXYS Corporation,Technology,Bayside,033,Puerto Varas
Eastman Chemical Company,Basic Industries,Forster,81,Huarong
Conduent Incorporated,Miscellaneous,Pleasure,04061,Tongqing
"Fidelity National Financial, Inc.",Finance,Bay,150,Lajeado
"Sun Communities, Inc.",Consumer Services,Hoard,52,Lahān
Yingli Green Energy Holding Company Limited,Technology,Riverside,838,Kolonowskie
Hersha Hospitality Trust,n/a,Merrick,2355,Kindu
Cantel Medical Corp.,Health Care,Mallard,6,La Carlota
"Gamco Investors, Inc.",Finance,Shoshone,16,Zafarwāl
RAIT Financial Trust,Consumer Services,Pawling,2422,Hebu
Federal Realty Investment Trust,Consumer Services,La Follette,530,Hiseti
Regions Financial Corporation,n/a,Washington,6,Qilin
Ardagh Group S.A.,Consumer Durables,Westport,75633,Stockholm
Clifton Bancorp Inc.,Finance,Holmberg,307,Seres
"Allete, Inc.",Public Utilities,Kim,231,Languan
Anworth Mortgage Asset  Corporation,n/a,Eggendart,63134,Newbiggin
M III Acquisition Corp.,Finance,Dovetail,03699,Carcarañá
"United Bancshares, Inc.",Finance,Cascade,153,Stockholm
"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Little Fleur,30,Slunj
ClearBridge Dividend Strategy ESG ETF,n/a,Basil,17,Stari Bohorodchany
Origo Acquisition Corporation,Finance,Westend,30651,Pontevedra
"The First Bancshares, Inc.",Finance,Bunker Hill,60,Pantijan No 2
"North American Energy Partners, Inc.",Energy,Myrtle,55516,Lazaro Cardenas
"GSI Technology, Inc.",Technology,Bartillon,9997,Nancaicun
Pegasystems Inc.,Technology,Aberg,10844,Wŏnsan
Oshkosh Corporation,Capital Goods,Jana,0054,Ołpiny
"Revance Therapeutics, Inc.",Health Care,Anhalt,699,Krajan Menggare
"Ottawa Bancorp, Inc.",Finance,Starling,9217,Vimmerby
"Melrose Bancorp, Inc.",Finance,Schmedeman,58955,Suodenniemi
"Stanley Black & Decker, Inc.",Capital Goods,Sunnyside,7,Guanajay
"MFA Financial, Inc.",Consumer Services,Northland,943,Muang Sing
Repros Therapeutics Inc.,Health Care,Shelley,903,Oster
West Bancorporation,Finance,Vermont,92054,Anjihai
Federal Agricultural Mortgage Corporation,n/a,Truax,9,Jindong
Washington Prime Group Inc.,n/a,Oakridge,96,Nouakchott
ON Semiconductor Corporation,Technology,Norway Maple,01,Tianjin
"Nexeo Solutions, Inc.",Consumer Durables,Manley,102,Salamrejo
Genie Energy Ltd.,n/a,Old Shore,2304,White City
GlaxoSmithKline PLC,Health Care,East,646,Isperikh
Global X SuperDividend REIT ETF,n/a,Shopko,07537,Pa Kham
CAE Inc,Miscellaneous,Mcbride,947,Morez
Federal Agricultural Mortgage Corporation,Finance,Arizona,0391,La Libertad
Stone Energy Corporation,Energy,Monterey,95,Dukuhsawah
"Dave & Buster's Entertainment, Inc.",Consumer Services,Londonderry,1,Qal‘ah-ye Shahr
Novo Nordisk A/S,Health Care,5th,616,Al Manāqil
"HarborOne Bancorp, Inc.",Finance,Maryland,9112,Cibeureum Satu
"HealthStream, Inc.",Technology,Lien,1,Langtad
Discover Financial Services,Finance,Old Shore,73608,Berlin
NASDAQ TEST STOCK,n/a,Lawn,2,Cigagade
"Nuveen New York Municipal Value Fund, Inc.",n/a,Barnett,7999,Sriwing
Rosehill Resources Inc.,Energy,Thierer,81229,Detroit
Tekla Healthcare Investors,n/a,Hansons,2,Lushnjë
"Willdan Group, Inc.",Consumer Services,East,01,Huicungo
"Genocea Biosciences, Inc.",Health Care,Myrtle,4345,Makrýgialos
Univest Corporation of Pennsylvania,Finance,Alpine,822,Pantalowice
"Intuitive Surgical, Inc.",Health Care,Myrtle,7889,Tanggung
"Achillion Pharmaceuticals, Inc.",Health Care,Towne,78866,Hane
Alliance Data Systems Corporation,Miscellaneous,Meadow Ridge,80121,Fengjia
"Prudential Financial, Inc.",Finance,Truax,06593,Abreu e Lima
RLJ Lodging Trust,Consumer Services,Ridgeway,33,Bangunharja
Nuvectra Corporation,Health Care,Pawling,5079,Ladário
"InterDigital, Inc.",Miscellaneous,Lunder,8747,Turangi
Curtiss-Wright Corporation,Technology,Briar Crest,379,Ungsang
"Zogenix, Inc.",Health Care,Merry,854,Syriam
"Chunghwa Telecom Co., Ltd.",Public Utilities,Marcy,86137,Itambacuri
"Xilinx, Inc.",Technology,Bluestem,75464,As Salţ
"Alliance HealthCare Services, Inc.",Health Care,Victoria,7355,Capiíbary
"Builders FirstSource, Inc.",Consumer Services,Dorton,38282,Osiek nad Notecią
Enerplus Corporation,Energy,Bluestem,6,Dateng
Bel Fuse Inc.,Capital Goods,Center,12,Nocaima
"Carbonite, Inc.",Technology,Bunker Hill,13,Novi Zagreb
Barington/Hilco Acquisition Corp.,Finance,Glendale,06,Yeysk
Ellington Residential Mortgage REIT,Consumer Services,Fair Oaks,35,Labnig
National Commerce Corporation,Finance,Anhalt,2018,Kaulon
Exterran Corporation,Technology,Comanche,59255,Casselman
Nuveen S&P 500 Dynamic Overwrite Fund,n/a,Tennessee,8,Beigao
Janus Henderson Group plc,Finance,Maple,0,Louisville
ConocoPhillips,Energy,Merchant,881,Santa Cruz de la Sierra
Constellation Brands Inc,n/a,Laurel,78,Göteborg
Colonial Municipal Income Trust,n/a,Katie,22943,Atuntaqui
Koss Corporation,Consumer Non-Durables,Londonderry,881,Dagohoy
"Dermira, Inc.",Health Care,Debra,88226,Ussel
The Cushing MLP Total Return Fund,n/a,Mayfield,9047,Shah Alam
"PROS Holdings, Inc.",Technology,Erie,5739,Subkowy
"Buckle, Inc. (The)",Consumer Services,Tomscot,0,Seremban
Criteo S.A.,Technology,Fair Oaks,32329,At Tibnī
Dynegy Inc.,n/a,Killdeer,9942,Nakhon Nayok
"Nuance Communications, Inc.",Technology,Rockefeller,25784,Baitashan
eBay Inc.,Miscellaneous,Clove,9592,Si’erbao
"Medical Properties Trust, Inc.",Consumer Services,Northwestern,673,Xiliu
"Tallgrass Energy Partners, LP",Public Utilities,Haas,84,Sulop
"Penske Automotive Group, Inc.",Consumer Durables,Browning,08765,Naukšēni
X-Links Silver Shares Covered Call ETN,Finance,5th,02,Elele
Bank of America Corporation,n/a,Butternut,0346,Manamrag
"Simon Property Group, Inc.",Consumer Services,Reindahl,896,Gostyń
Invesco Senior Income Trust,n/a,Katie,6,Kyzylorda
Ciner Resources LP,Basic Industries,Logan,2524,Nanzhihui
"ARC Group Worldwide, Inc.",Capital Goods,Mallory,626,Bugojno
Illinois Tool Works Inc.,Technology,Troy,9,Guay
"Eldorado Resorts, Inc.",Consumer Services,Jackson,4730,Āgaro
Wells Fargo & Company,n/a,Utah,2,Chigan
"NCI Building Systems, Inc.",Capital Goods,Lighthouse Bay,3782,Tía Juana
"PIMCO Commercial Mortgage Securities Trust, Inc.",n/a,Claremont,1,Chixi
Express Scripts Holding Company,Health Care,Drewry,9,Areeiro
NVE Corporation,Technology,Arizona,8,Xihe
WisdomTree Interest Rate Hedged High Yield Bond Fund,n/a,Muir,69685,Bābol
"TrueBlue, Inc.",Technology,Garrison,6,Pogranichnyy
"Watts Water Technologies, Inc.",Capital Goods,Duke,3,Qingdao
"Safe Bulkers, Inc",n/a,Ruskin,40,Roi Et
NewMarket Corporation,Basic Industries,Acker,64,Lanyang
Cenveo Inc,Consumer Durables,Trailsway,99,Paobokol
Putnam Master Intermediate Income Trust,n/a,Everett,08875,Gulariyā
FIRST REPUBLIC BANK,n/a,Montana,9,Hrib-Loški Potok
"AvalonBay Communities, Inc.",Consumer Services,2nd,6510,Eastern Suburbs Mc
Morgan Stanley,Finance,Maywood,976,Néa Tríglia
Public Storage,Consumer Services,Loeprich,669,Nong Khai
"FRONTEO, Inc.",n/a,Larry,512,Blois
"Opexa Therapeutics, Inc.",Health Care,Karstens,306,Jablunkov
"Celadon Group, Inc.",Transportation,Merrick,9045,Xiamujiao
Jacobs Engineering Group Inc.,Basic Industries,Arkansas,6,Kozyatyn
Colonial Intermediate High Income Fund,n/a,Melrose,9911,Misau
"Entergy Louisiana, Inc.",Public Utilities,Jackson,008,Qinjia
"Gibraltar Industries, Inc.",Capital Goods,Mockingbird,7662,Paris 13
Zion Oil & Gas Inc,Energy,Mcbride,83739,Chahe
"Simon Property Group, Inc.",n/a,Manitowish,271,Gangu Chengguanzhen
Bank of America Corporation,n/a,Bobwhite,72,Cergy-Pontoise
"Vital Therapies, Inc.",Health Care,Kim,60370,Chernyakhovsk
"Ra Pharmaceuticals, Inc.",Health Care,Lawn,1294,Ubajami
Scorpio Bulkers Inc.,Transportation,Londonderry,00,Fuchun
"Ambarella, Inc.",Technology,Vernon,5521,San Jose
"Rightside Group, Ltd.",Miscellaneous,Russell,4,Chernukha
Stellar Acquisition III Inc.,Finance,Talmadge,05,Kutorejo
Blackrock Municipal Bond Trust,n/a,Bunker Hill,00620,Goiatuba
"Premier, Inc.",Consumer Services,Roxbury,408,Mahe
Valley National Bancorp,Finance,Mandrake,91,Fatuulan
McDonald's Corporation,Consumer Services,Loomis,84315,Nijemci
Wells Fargo & Company,n/a,Nobel,517,Tomioka
Nustar Energy L.P.,Energy,Northfield,4362,Guyangan
Energous Corporation,Technology,Randy,4,Ōtawara
"Cyclacel Pharmaceuticals, Inc.",Health Care,8th,22260,Daeosin Satu
"Alexion Pharmaceuticals, Inc.",Health Care,Westport,695,Nysa
"Dave & Buster's Entertainment, Inc.",Consumer Services,Victoria,41,Drawsko
"Manitex International, Inc.",Technology,Dennis,20430,Rennes
Select Asset Inc.,Finance,Kings,86250,Arboga
Wells Fargo Global Dividend Opportunity Fund,n/a,Tony,1,Cayenne
El Paso Corporation,Public Utilities,Dovetail,51712,Cajabamba
Nuveen Michigan Quality Municipal Income Fund,n/a,Rusk,3,Tanbu
"United Bancshares, Inc.",Finance,Myrtle,00,Cibeureum
Armstrong World Industries Inc,Consumer Non-Durables,Clemons,6,Timaru
"Host Hotels & Resorts, Inc.",Consumer Services,Spaight,83616,Liugong
VelocityShares 3x Inverse Silver ETN,Finance,Transport,5,Tiantang
"United Financial Bancorp, Inc. ",Finance,Oak,1834,Xunhe
"MGP Ingredients, Inc.",Consumer Non-Durables,Goodland,58122,Xinhua
"Intuitive Surgical, Inc.",Health Care,Golf Course,416,Kotlovka
ORBCOMM Inc.,Consumer Services,Cambridge,07,Jiangchuanlu
Tsakos Energy Navigation Ltd,n/a,Sutteridge,39,Barreiro do Jaíba
Agrium Inc.,Basic Industries,Sugar,8,Wanagiri
"Take-Two Interactive Software, Inc.",Technology,Dwight,2,Noen Maprang
"PT Telekomunikasi Indonesia, Tbk",Public Utilities,Dahle,446,Pakemitan Dua
Coty Inc.,Consumer Non-Durables,Kinsman,4308,Doksy
China Telecom Corp Ltd,Public Utilities,Sommers,63,Harbin
"LM Funding America, Inc.",Finance,Namekagon,80012,Västerås
Cheetah Mobile Inc.,Technology,Little Fleur,58673,Jagong
"PhaseRx, Inc.",Health Care,Dunning,2278,Mombasa
Deckers Outdoor Corporation,Consumer Non-Durables,Debra,460,Philadelphia
"Energy XXI Gulf Coast, Inc.",Energy,Dexter,1,Calvinia
"Model N, Inc.",Technology,Sunnyside,392,Shangrao
Forestar Group Inc,Finance,Gale,472,Dalun
"Southcross Energy Partners, L.P.",Public Utilities,Cardinal,12,Curanilahue
Ohio Valley Banc Corp.,Finance,Sachtjen,02,Póvoa
"Chuy's Holdings, Inc.",Consumer Services,Grim,2,Youwei
Qwest Corporation,Public Utilities,Scofield,2686,Penggakrajeng
PAREXEL International Corporation,Health Care,Katie,37569,Conchal
FlexShares Disciplined Duration MBS Index Fund,n/a,Melby,53188,Dallas
"Baldwin & Lyons, Inc.",Finance,Lake View,4,Cikijing
Independent Bank Corp.,Finance,Mockingbird,9090,Ohrid
8point3 Energy Partners LP,Public Utilities,Claremont,4033,Huogezhuang
Lianluo Smart Limited,Health Care,Lerdahl,4149,Taza
China Rapid Finance Limited,Finance,Grim,45,Xiushan
Jumei International Holding Limited,Consumer Services,Vahlen,556,Waterloo
Abbott Laboratories,Health Care,Macpherson,2,Huangtian
ASA Gold and Precious Metals Limited,n/a,Browning,4365,Tagum
TravelCenters of America LLC,Consumer Durables,John Wall,5023,Chone
Enel Chile S.A.,Public Utilities,Comanche,35,Xiaojing
NICE Ltd,Technology,Clyde Gallagher,7,Marevo
Midatech Pharma PLC,Health Care,Hallows,9171,Tarłów
Aircastle Limited,Technology,Coolidge,408,Chelbasskaya
"PC Connection, Inc.",Consumer Services,Hermina,59232,Nowa Dęba
Tennessee Valley Authority,Public Utilities,Pine View,9,Caçapava
"Microvision, Inc.",Capital Goods,Becker,10,Tamanan
"First Hawaiian, Inc.",Finance,New Castle,5,Gaplek
"Spectrum Brands Holdings, Inc.",Miscellaneous,Basil,2993,Haoraoshan
Suncor Energy  Inc.,Energy,Cherokee,97765,Palcza
"Spark Energy, Inc.",Public Utilities,Melrose,5833,Sumbuya
Lazard Global Total Return and Income Fund,n/a,Transport,6,Wutan
"Landcadia Holdings, Inc.",Finance,Autumn Leaf,5,Bonneuil-sur-Marne
Winmark Corporation,Consumer Services,Donald,54,Venda Nova
Kitov Pharmaceuticals Holdings Ltd.,Health Care,Farragut,394,Sanhe
Public Storage,Consumer Services,Acker,63959,Donja Dubica
"Cellular Biomedicine Group, Inc.",Health Care,Bluestem,9,Tambangan
"Hudson Technologies, Inc.",Consumer Durables,Monterey,70,Młynary
"Aviragen Therapeutics, Inc.",Health Care,Mayfield,642,Kuala Baru
Medallion Financial Corp.,Finance,Westridge,39,Locminé
"Qualys, Inc.",Technology,Eagan,5,Kostarea Satu
Apartment Investment and Management Company,Consumer Services,Sundown,805,Waitangi
"Gildan Activewear, Inc.",Consumer Non-Durables,Kinsman,4,Mramani
Hutchison China MediTech Limited,Health Care,Trailsway,8,San Juan Pueblo
"Silver Spring Networks, Inc.",Technology,Green Ridge,163,Bedadung Kulon
MPLX LP,Energy,Del Sol,3,Tafí del Valle
PowerShares DWA Basic Materials Momentum Portfolio,n/a,Hoard,23150,Chernyakhovsk
Spherix Incorporated,Miscellaneous,Moulton,52050,Bang Nam Priao
"First Guaranty Bancshares, Inc.",Finance,Hagan,7,Lozova
Owens Corning Inc,Capital Goods,Loomis,9200,Crateús
"SunTrust Banks, Inc.",n/a,Bay,6,Moravský Krumlov
UGI Corporation,Public Utilities,Welch,22,Palhoça
"Loral Space and Communications, Inc.",Technology,Florence,86,San Juan
"Aware, Inc.",Technology,Nobel,2,Xifengshan
"Key Technology, Inc.",Technology,Riverside,4,Baima
Autohome Inc.,Technology,Farmco,76736,Tammela
Gulfport Energy Corporation,Energy,Gerald,66477,Changling
"Meritor, Inc.",Capital Goods,Ramsey,60348,Al ‘Ayzarīyah
"ConAgra Brands, Inc.",Consumer Non-Durables,Mayfield,78,Mtsensk
Nuveen Quality Municipal Income Fund,n/a,8th,615,Naagas
"Freshpet, Inc.",Consumer Non-Durables,Meadow Ridge,30586,Jiaohu
Arlington Asset Investment Corp,Finance,Harper,01,Da’ao
"Caseys General Stores, Inc.",Consumer Durables,Division,06971,Liboro
"CRA International,Inc.",Miscellaneous,Artisan,81,Villejuif
"Professional Diversity Network, Inc.",Technology,Banding,440,Peresvet
"New York Mortgage Trust, Inc.",Consumer Services,Bluejay,4,Huanghai
"Synthetic Fixed-Income Securities, Inc.",n/a,Namekagon,50,Longmen
"Moneygram International, Inc.",Miscellaneous,Burrows,3,Pražmo
"HCA Healthcare, Inc.",Health Care,Dwight,0215,Laojie
"Equifax, Inc.",Finance,Sugar,87,Lucma
Nuveen NASDAQ 100 Dynamic Overwrite Fund,n/a,Hanson,4669,Suru
Triangle Capital Corporation,n/a,Havey,17512,Dubki
Cognex Corporation,Capital Goods,Bowman,4757,Nīshābūr
Canadian Pacific Railway Limited,Transportation,Delaware,299,Loandjili
Videocon d2h Limited,Consumer Services,Havey,4599,Baganga
"Impax Laboratories, Inc.",Health Care,Lyons,01817,Eucaliptus
Inphi Corporation,Technology,Longview,44,Všeruby
Reynolds American Inc,Consumer Non-Durables,Granby,3,Jiujie
Fortuna Silver Mines Inc.,Basic Industries,Hintze,84510,Namangan Shahri
